Gouvernorat,Price,rooms,Localisation,Description
Tunis,700000.0,4.0,Ain Zaghouan,"sky immo propose à la vente un appartement en s+4, d'une surface totale de 220m², au septième étage d'une résidence calme et sécurisée, à ain zaghouan nord.l'intérieur offre un cadre de vie raffiné avec un salon spacieux s'ouvrant sur un balcon, une salle d'eau pour les invités, une cuisine équipée avec séchoir, et même une chambre de service.le coin nuit se compose d'une suite parentale et de deux chambres à coucher partageant une salle de bain commune.chauffage centrale et climatisation en split.une place de parking au sous-sol.prix: 700.000 tndpour avoir plus d'informations, veuillez contacter votre conseiller en immobilier wael hajjem au: +216 25 708 075, sky immo."
Ariana,320000.0,3.0,Cite Ennasr 1,"sky immo propose à la vente un appartement en s+2, totalement rénové en 2018, d'une superficie totale de 116m², au cinquième étage d'une résidence à cité ennasr 1.l'appartement est constitué d'un salon avec un balcon et un coin séjour, une cuisine équipée avec un séchoir, deux chambres à coucher avec des dressings et une salle de douche commune.chauffage centrale et climatisation en split.parking collectif privé.résidence gardée.prix: 320.000ᵀᴺᴰpour toutes autres informations ou une prise de rendez-vous, veuillez nous contacter au +216 25 708 075"
Tunis,289000.0,3.0,El Aouina,"nous vous proposons à la vente un appartement s+3 bénéficiant d'une excellente orientation, situé à cité el wahat, l'aouina, dans une résidence sécurisée et bien entretenue avec ascenseur, à proximité de toutes les commodités.cet appartement se compose d'un grand salon lumineux avec balcon et vue dégagée, d'une cuisine aménagée dotée d'un vaste séchoir, de trois chambres spacieuses, dont l'une dispose d'un dressing, ainsi que d'une salle de bain et d'une salle d'eau commune. le chauffage central et la climatisation garantissent un confort optimal.pour plus dinformations, contactez-nous au 25369776"
Ariana,549000.0,4.0,La Soukra,"la maison de limmobilier vous propose à la vente un magnifique appartement s3 situé au rez-de-chaussée dune résidence paisible et recherchée à la soukra.avec une superficie habitable de 160 m², ce bien bénéficie également dun jardin privatif de 70 m².lappartement se compose dun spacieux salon, de trois chambres lumineuses, dune cuisine moderne et fonctionnelle, ainsi que dune salle de bain. en plus de ses prestations intérieures, ce bien dispose de deux places de parking.prix de vente : 549000 tndpour plus de renseignements ou pour planifier une visite, nhésitez pas à contacter la maison de limmobilier. nous sommes à votre écoute pour répondre à toutes vos questions et vous accompagner dans votre projet."
Tunis,250000.0,3.0,Mutuelle Ville,"remax gold met en vente un superbe appartement s+3 à mutuelleville nord hilton .pour plus d'informations ou pour planifier une visite, contactez dès maintenant skander chahed, votre conseiller en immobilier remax gold :téléphone : +216 27 55 48 55whatsapp : +216 27 55 48 55"
Tunis,120000.0,2.0,Cite Bhar Lazreg,"à vendre un appartement s+2 de 100 m² situé à bhar lazreg, au rez-de-chaussée.il se compose dun salon spacieux, de deux chambres à coucher, dune salle de bain et dune cuisine. lappartement dispose également d'une terrasse.prix de vente : 120 000 dt.pour toutes informations contacter +216 22 608 754"
Tunis,180000.0,1.0,Ain Zaghouan,"fb.6283contacter notre conseillère en immobilier au 51004658 /56096179 / 70727279.a vendre un appartement s+1 au 7ème étage avec double ascenseur dans une résidence sécurisée et bien équipée à ain zaghouan à proximités toutes les commodités. il se compose dun salon avec un balcon ,une cuisine bien équipée plus un séchoir, chambre à coucher avec dressing et salle de douche. lappartement est installé dun chauffage centrale, climatiseurs.nb. le prix légèrement négociable .agence immobilière ari."
Tunis,100000.0,2.0,Cite Bhar Lazreg,à vendre un appartement s2 au 1er étage situé à bhar lazregil se compose d'un salon spacieux de deux chambres à coucher d'une cuisine et d'une salle de bain.superficie 100 m²prix de vente  100 000 dtpour toutes informations contacter +216 22 608 754
Tunis,175000.0,1.0,El Aouina,"fb.7376contacter notre conseillère en immobilier au 58713586 / 56096179 / 70727279.a vendre un appartement s+1 situé au 5éme étage avec ascenseur dans une résidence bien sécurisée et bien gardée à cite el wahat .il se compose dun salon , kitchenette (plaque ,hotte ,four ) avec séchoir et une chambre à coucher , plus salle de douche . lappartement est installé dun chauffage centrale et climatiseur ."
Ariana,275000.0,3.0,Cite El Ghazala 1,on  vous propose a la vente un appartement s+2 de 114 m2 au  5 ème etage avec ascenseur dans une résidence gardée et sécurisée proches de toutes commodités.il se compose d':-  un salon spacieuse avec balcon-  une cuisine équipée avec séchoir- une salle deau- une salle de bain- deux chambres à coucher avec dressing- chauffage central- place de parking- gardiennage et syndicprix de vente :  275 md
Tunis,232000.0,3.0,El Manar 1,"à vendre à manar 1 direct propriétaire, s+3 de 90m2 moyen standing à côté du campus, monoprix et de la clinique, idéal famille ou investissement locatif ( étudiants) s+3 , cuisine avec séchoir. salle de bain et toilettes séparées. chauffage central. 5eme étage avec ascenseur titre individuel parking extérieur en bas de l'immeuble. quartier chic , calme et sécurisé l'appartement était loué dans l'état à 1100 dinars. appartement vide pour la vente. prix 232 milles dinars, pour plus d'infos contactez au 98 432 412 ou au 20 332 412"
Ariana,250000.0,2.0,Cite Ennasr 1,on met la vente d'un appartement  s+1  de haut standing de 78 m2  au 2ème étage avec double ascenseurs dans une résidence gardée et sécurisée proches de toutes commodités.il se compose d:- un salon- une cuisine équipée- une salle de bain- une chambre a couché avec dressing- un chauffage centrale- climatisation- place de parking sous sol- gardiennage et syndicannée de construction 2014certificat de propriété en règle
Ariana,230000.0,1.0,La Soukra,"particulier met en vente un appartement s1 dans une résidence r2  avec ascenseur. l'appartement est situé au 2 ème, avec place de parking au sous-sol.2 climatiseurschauffage centralalarmerevêtements marbrecuisine séparéetéléphone : 92458542"
Tunis,638000.0,4.0,El Menzah 9,appartement s+3 à vendrehelma immo vous propose à la vente un appartement s+3 de 220 m2 avec un terrasse de 85 m2 au 1er etage  avec ascenseur dans une résidence sécurisée et proche de toutes  commodités  à menzah 9 .il se compose d:-un salon salle a manger avec terrasse-  une cuisine équipée avec séchoir- une salle de bain- deux  chambres à coucher avec dressings- une suite parentale avec dressing et salle d'eau- chauffage central- climatisation centrale- gardiennage et syndicannée de construction 2010enregistrement 1%prix de vente : 638 mdplace de parking: 15 md
Ariana,290000.0,4.0,El Menzah 7,"appartement s+3 a vendrehelma immo vous propose à la location un appartement  s+3 retapé de 115m2 au 3 eme étage avec un nouveau ascenseur dans une résidence gardée et sécurisée proches de toutes commodités à menzah 7il se compose d:- un grand salon salle à manger.- trois chambres à coucher dont deux avec placards.-une salle de bain.-une salle d'eau.-une cuisine aménagée avec séchoirlappartement est doté de chauffage central, de 2 climatiseurs, dun abri de voiture et dun cellier.certificat de propriété en règle"
Ariana,200000.0,4.0,Borj Louzir,un appartement à vendre en rez de chaussée à cité saha borj louzir ariana avec un bon placement .il contient un garage de voiture .surface 126 m2(prix 200 milles dinars à discuter)contactez le numéro 24772413
Tunis,137000.0,2.0,El Manar 1,"l'agence krout immo mets à votre disposition un bel appartement pour la vente, veuillez trouverez ci-dessous quelques caractéristiques :emplacement : manar 1 proche de monoprix, campus manar et de toutes les commodités.type : s+1superficie nette (sans partie commune) : 40 m²etage : 1er étagepapiers : titre bleuprix de vente : 137 mdplus dinformations contacter :96 851 94753 851 947nb : frais de visite 30dt ( vous bénéficierez de deux autres visites gratuites)"
Tunis,65000.0,2.0,El Manar 1,"l'agence krout immo mets à votre disposition un s1 pour la vente, vous trouverez ci-dessous quelques caractéristiques :emplacement : cité ettahrir, derrière kiosk shellsuperficie : 46 m²prix de vente : 65 mdplus dinformations contacter :96 851 94753 851 947nb : frais de visite 30dt ( vous bénéficierez de deux autres visites gratuites)"
Tunis,585000.0,3.0,Ain Zaghouan,"magnifique s3 de 139m² à aïn zaghouan nord. rdc, salon 24m² baigné de lumière, cuisine équipée, suite parentale avec dressing, salle de bain et douche à l'italienne. balcon avec vue imprenable sur jardin. place de parking en sous-sol. calme et luminosité garantis. proche de toutes commodités. a visiter sans tarder !"
Tunis,480000.0,3.0,Cite Du Stade,#réf 81và vendre une bel appartement s+2la marsa cité du stadeil se compose comme suitsalon lumineux2 chambres à couchercuisine équipée avec un séchoirune salle de bainchauffage central et climatisationplace de parkingconstruction 2021prix de vente : 480.000 mdnuméro de téléphone 54542023
Ariana,295000.0,4.0,Cite Ennasr 2,#réf 86và vendre appartement s3ennasser 2coté restaurant aam  habib8ème et dernier étage avec double ascenseurconstruction 2003superficie totale  150 m2titre individuelbalconséchoirsalle de bain et salle deau3 placardschauffage centralprix 295 mdsi intéressé contactez le 54542023
Tunis,235000.0,1.0,El Aouina,"fb.6889contacter notre conseiller en immobilier au 58173586 / 56096179 / 70727279a vendre un appartement s+1 au 5eme etage , il se compose dun salon avec grand terrasse plus un grand dressing , une cuisine avec séchoir , une chambre à coucher avec terrasse et une salle de douche avec cabine . lappartement est équipé avec chauffage central et climatiseur."
Tunis,530000.0,2.0,Jardins de Carthage,"fb.6078contacter notre conseillère en immobilier au 58713586 / 56096179 / 70727279.à vendre un appartement s+2 haut standing situé au 1ère étage a jardins de carthage avec balcon aménagé , 2 chambres à coucher spacieuses dont une avec dressing ,salle de bain .lappartement bénéficie dune double orientation .plus place de parking sous sol .agence immobilière ari."
Manouba,280000.0,4.0,La Mannouba,appartement  à cité salema residence ben mahmoud s+3 se compose d'un salon + sale à manger + chambre parent + deux chambres enfants +  cuisine + sale de bainsurface 130mprix 280000dt
Tunis,290000.0,4.0,Ain Zaghouan,"a vendre un appartement s+3 à ain zaghouan cité el wahat .l'appartement est au standing en 6 ème étage avec double ascenseur , deux places parking et il a un titre individuel .surface : 126 mètres carréesprix : 290 milles dinars (a discuter)contactez le numéro : 24772413"
Tunis,340000.0,2.0,Ain Zaghouan,"immoliv vous propose à la vente un appartement s+1 direct promoteur qui s'étale sur une superficie de 63m² d'une résidence gardée et sécurisée situé dans un emplacement stratégique à ain zaghouan nord.l'appartement se compose d'un salon lumineux donne sur un balcon, une kitchenette équipée ouverte sur l'espace de vie, une suite avec dressing ainsi qu'une salle de douche.il dispose aussi d'autres appartements d'une superficie entre 63m² et 85m².ce projet immobilier est doté d'une piscine commune, une salle de sport , un patio composé dun grand jardin et une aire de jeux.merci de nous contacter au 25.538.653"
Tunis,1000000.0,4.0,Berge Du Lac,"l'agence immobilière good life met en vente un appartement s+3 situé au lac 2. avec une superficie totale de 213 m² (188 m² de superficie net), cet appartement se compose dun salon et dune salle à manger lumineux, ouverts sur une terrasse avec une vue dégagée, dune salle deau pour les invités, et dune cuisine bien équipée avec un séchoir.lespace nuit comprend deux chambres à coucher avec dressing, une salle de bain commune, ainsi quune suite parentale avec dressing et salle de bain privative.lappartement est doté dune climatisation et dun chauffage central. deux places de parking au sous-sol sont également incluses.pour une visite ou plus d'informations contacter votre courtier en immobilier hamdi achour par téléphone ou whatsapp au 29924039"
Tunis,990000.0,4.0,Jardins de Carthage,"l'agence immobilière good life vous propose à la vente un appartement s+3 situé au 6ème étage d'une résidence r+9 aux jardins de carthage, dont chaque étage abrite deux appartements.ce bien de 275 m² comprend un spacieux salon avec accès à un grand balcon offrant une vue dégagée, une salle d'eau pour les invités, une cuisine avec un séchoir et une petite pièce. la partie nuit se compose de deux chambres avec dressing, une salle de douche et une suite parentale. une place de parking est disponible au sous-sol.l'appartement est équipé de la climatisation centrale et du chauffage central.pour une visite ou plus d'informations contacter votre courtier en immobilier chema sellami au 29924040."
Ariana,212000.0,3.0,El Menzah 7,"appartement s+2  à vendrehelma immobiliere met à la vente un appartement s+2 de 90 m², au 4eme étage, sans ascenseur dans une résidence gardée à menzah 7il se compose :- salon avec  balcon- cuisine équipée avec sechoir- salke de bain- salle d'eau- deux chambres à coucher- climatisation- gardiennage et syndicprix de vente : 212 md"
Tunis,280000.0,2.0,Ain Zaghouan,"a vendre un appartement s+2 dune superficie total 118m² à cité el wahat derrière monoprix, au 2ème étage, il se compose dun salon, une cuisine bien équipée, deux chambres à coucher dont une avec dressing plus une salle de bain.lappartement est équipé par chauffage central plus une place parking sous-sol.merci de contacter notre agent en immobilier au 90531973"
Ariana,280000.0,2.0,La Soukra,"a vendre un appartement s+2, dune superficie total 118m² à cité el wahat derrière monoprix, au 2ème étage, il se compose dun salon, une cuisine bien équipée, deux chambres à coucher dont une avec dressing plus une salle de bain.lappartement est équipé par chauffage central plus une place parking sous-sol.merci de contacter notre agent en immobilier au 90531973"
Tunis,495000.0,3.0,Cite Erriadh,"à vendreappartement s2 à la marsaemplacement : la marsa cité riadhannée construction : 2017étage : 2ème étage avec ascenseursuperficie : 134 m²composition :salon avec terrassedressing au couloirsalle deau invitéscuisine équipée de plaque, hotte et foursuite parentale avec dressing et salle de bainsuite junior avec dressing et salle de douche.garage sous-sol ( 20 m² avec titre foncier individuel)climatisation split systèmechauffage centralprix : 495.000 dt"
Ariana,340000.0,2.0,La Soukra,"a vendreappartement s+1 ( avec les meubles )à la soukrasuperficie: 90 m²etage: 3ème étage avec ascenseurcomposition:salon avec balcondressing au couloircuisine équipée de hotte, plaque,four,réfrigérateur et machine à laverséchoirchambre à coucher avec dressingsalle de bainclimatiseurchauffage centralplace de parking sous-solprix 340.000dt"
Tunis,540000.0,4.0,El Menzah 9,"- on met à la vente un appartement s+3 haut standing d'une superficie totale de 160m² situé au 1ér étage d'une résidence calme et sécurisée à menzah 9c.- son orientation est optimale. il est très lumineux et ensoleillé.- le bloc jour se compose d'un salon-salle à manger avec un balcon, d'une cuisine agencée et équipée (plaque, hotte, four, micro-ondes) avec un séchoir et d'une salle d'eau invités.- le bloc nuit se compose de deux chambres à coucher avec dressing, d'une salle de bain avec jacuzzi et d'une suite parentale munie d'une salle d'eau avec cabine de douche.- chauffage central, climatisation en split dans chaque pièces et une place de parking au sous-sol sont à la disposition.- la résidence dispose d'un lac artificiel , une salle de sport , salle de prière, abattoir , salle de lecture , salle de jeux , une salle de vaporium (sauna) avec des vestiaires ,une piscine couverte et un atelier de bricolage.pour plus d'information veuillez contacter votre conseiller sur le 58 668 568 / 71 232 911."
Ariana,330000.0,4.0,Cite Ennasr 2,"- on met à la vente un appartement s+3 d'une superficie totale de 160m² situé au 4éme étage avec ascenseur dans une résidence sécurisée et proche de toutes les commodités à ennasr 2 coté hedi nouira.- son orientation est optimale. il est très lumineux et ensoleillé.- le bloc nuit se compose d'un salon-salle à manger avec balcon, d'une cuisine agencée avec un séchoir et d'une salle d'eau invités.- le bloc nuit se compose de trois chambres à coucher avec un dressing et d'une salle de bain commune.- chauffage central, climatisation en split et vidéophone sont à la disposition.pour plus d'information veuillez contacter votre conseiller sur le 58 668 568 / 71 232 911."
Ariana,195000.0,4.0,Ariana,réf 100 và vendre appartement s+3arianasuperficie 105 m2chauffage centralcuisine aménagéeplace parkingprix 195.000 mdnuméro de téléphone 54542023
Tunis,255000.0,3.0,El Aouina,contacter notre agent en immobilier au 58258423 56096179 70727279.a vendre un appartement s plus 2 jamais habité au 6éme étage avec double ascenseur à cité wahat dans une résidence gardé et sécurisé proche de toute commodité. il se compose :deux chambressalonsalle de baincuisine bien équipée avec plaque hotte four plus un séchoir.chauffage central et place de parking ou sous-solpaiement cache
Tunis,90000.0,2.0,Cite Bhar Lazreg,"à vendre, un appartement s+1 au 2ème étage à bhar lazreg.il se compose d'un salon spacieux, d'une chambre, d'une cuisine et d'une salle de bain.surface : 100 m²prix : 90 000 dtpour toutes informations contacter +216 22 608 754"
Ariana,580000.0,4.0,El Menzah 8,"a vendre un appartement s+4 haut standing à menzeh 8 en premier étage.l'appartement contient un grand salon, une salle d'eau et de douche pour les invités, 3 chambres à coucher avec salle de bain et un suite parental avec une salle de bain.il a un titre individuel et deux places parking sous sol avec un séré, un ascenceur et la résidence est gardée.surface : 240 mètres carréesprix : 580 milles dinars (a discuter)pour plus d'informations contactez le numéro :24772413"
Ariana,210000.0,2.0,La Soukra,"la nouvelle soukra, et vous propose dacquérir un logement dans un nouveau projet immobilier r5 de haut standing en cours de construction composée de 35 appartements, deux blocs s1, s2 et s3 des modèles selon vos besoins et votre style de vie dernières innovations technologiques et tendances de lhabitat et un parking au sous-sol.cette résidence est implantée dans un cadre verdoyant et calme, idéale pour la famille et procède de toutes les commodités, à quelques minutes du carrefour la marsa et à 15 minutes du centre-ville.s1 superficie entre 57 m² et 778 m² à partir 210.000 dt ttcs2 entre 94 m2 et 119 m2 à partir de 338.000 dt ttcs3 entre 127 m2 et 139 m2 à partir de 457.200 dt ttcprix place de parking sous sol  25.000 dt ttcreste disponible 4 cellier au sous sol.remise des clés janvier  2025"
Ariana,280000.0,2.0,Chotrana 1,"agence darcom tunisia soukravous propose à la vente un appartment  s+1 de 56.96 et d'un terrasse 30.80 m² de haut standing situé dans une petite résidence r+2 gardée et sécurisée à soukra chotrana 1, composé de :un salonune cuisine américaine agencée et équipée (hotte, plaque et four)une chambre à coucher avec dressing.une salle de douche italiennechauffage central et climatisation split installéssi vous souhaitez visiter le bien nhésitez pas à nous contacter54010782"
Tunis,175000.0,1.0,El Aouina,"nous vous proposons à la vente un appartement s+1 charmant, situé dans une magnifique résidence récemment construite et sécurisée. ce bien comprend un salon avec un petit balcon, qui s'ouvre sur une kitchenette entièrement équipée avec plaque de cuisson, hotte et four, une chambre à coucher, un dressing dans le couloir et une salle de douche.pour toute information complémentaire, n'hésitez pas à nous contacter au 58369777 ou whatsapp 25369776 ."
Tunis,345000.0,4.0,El Menzah 9,emplacement  menzah 9.superficie  126 m².etage  2éme étage.typologie  s4.compositionsalon avec balcon.séjour.cuisine équipée de hotte plaque et four.trois chambres à coucher dont deux avec dressing.salle d'eau.salle de douche.chauffage central.climatisation  split système.place de parking.prix  345 000 dinars.#réf  ref3420ales visites sont gratuites. 3 pieces.
Ariana,110000.0,3.0,Jaafar 1,"l'agence immobilière good life met à votre disposition un appartement s+2 de 70 m² occupant le troisième étage dune résidence r+4 sans ascenseur, sécurisée, équipée de caméras de surveillance, situé à nour jaafar ariana, à proximité du technoparc el ghazala.il se compose d'un salon, deux chambres à coucher, une cuisine avec séchoir et une salle de bain.pour une visite ou plus d'informations contacter votre courtier en immobilier dorsaf nomane au 28910850."
Tunis,175000.0,2.0,El Aouina,"contacter notre conseillère en immobilier au 58258423 56096179 70727279.a vendre un appartement s plus 1 situé au 5éme étage avec ascenseur dans une résidence bien sécurisée et bien gardée à cite el wahat .il se compose dun salon , kitchenette (plaque ,hotte ,four ) avec séchoir et une chambre à coucher , plus salle de douche . lappartement est installé dun chauffage centrale et climatiseur ."
Ariana,400000.0,4.0,El Menzah 8,"a vendre un appartement s+3 haut standing à menzeh 8 en rez de chaussée.l'appartement contient un salon, une salle d'eau et de douche pour les invités, 2 chambres à coucher avec salle de bain et un suite parental avec une salle de bain.il a un titre individuel et un parking sous sol avec un séré et la résidence est gardée.surface : 170 mètres carréesprix : 400 milles dinars (a discuter)pour plus d'informations contactez le numéro :24772413"
Ariana,120000.0,1.0,La Soukra,"contacter notre conseiller en immobilier au 58258423 56096179 70727279a vendre un appartement s0 au 1er étage dans une résidence gardé et sécurisé à la soukra sidi salah , il se compose dun salon avec balcon , cuisine , salle de douche avec cabinelappartement installé dun chauffage centrale"
Tunis,590000.0,3.0,Zone urbaine nord,"go immo centre urbain nord vous propose la vente d' un appartement haut standing sup 157 m2 en s3 situé au 2 ème étage dans un immeuble proche de toutes les commodités au centre urbain nord.l' entrée donne sur un salon lumineux avec balcon, dans la continuité une cuisine aménagée et équipée, une cuisine extérieure et une salle d' eau pour les invités.la partie nuit est composée de trois chambres à coucher et d' une salle de douche italienne.l' appartement est équipé par la climatisation en split système et le chauffage centralune place de parking au sous-sol"
